Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma,Label
83,64,136363,34440,24376,5175,3323,8415,1666,72082,forward
83,64,136363,34440,24376,5175,3323,8415,1666,72082,forward
83,64,136363,34440,24376,5175,3323,8415,1666,72082,forward
83,64,136363,34440,24376,5175,3323,8415,1666,72082,forward
83,64,136363,34440,24376,5175,3323,8415,1666,72082,forward
77,69,1230627,29237,20921,7243,2297,5901,1029,65223,forward
77,69,1230627,29237,20921,7243,2297,5901,1029,65223,forward
77,69,1230627,29237,20921,7243,2297,5901,1029,65223,forward
77,69,1230627,29237,20921,7243,2297,5901,1029,65223,forward
77,69,1230627,29237,20921,7243,2297,5901,1029,65223,forward
77,69,1230627,29237,20921,7243,2297,5901,1029,65223,forward
77,69,1230627,29237,20921,7243,2297,5901,1029,65223,forward
77,69,1230627,29237,20921,7243,2297,5901,1029,65223,forward
77,69,1230627,29237,20921,7243,2297,5901,1029,65223,forward
77,69,1230627,29237,20921,7243,2297,5901,1029,65223,forward
77,69,1230627,29237,20921,7243,2297,5901,1029,65223,forward
77,69,1230627,29237,20921,7243,2297,5901,1029,65223,forward
77,69,1230627,29237,20921,7243,2297,5901,1029,65223,forward
77,69,1230627,29237,20921,7243,2297,5901,1029,65223,forward
77,69,1230627,29237,20921,7243,2297,5901,1029,65223,forward
77,69,1230627,29237,20921,7243,2297,5901,1029,65223,forward
77,69,1230627,29237,20921,7243,2297,5901,1029,65223,forward
77,69,1230627,29237,20921,7243,2297,5901,1029,65223,forward
77,69,1230627,29237,20921,7243,2297,5901,1029,65223,forward
77,69,1230627,29237,20921,7243,2297,5901,1029,65223,forward
47,77,138986,49873,12687,4976,3318,3084,1247,72463,forward
47,77,138986,49873,12687,4976,3318,3084,1247,72463,forward
47,77,138986,49873,12687,4976,3318,3084,1247,72463,forward
47,77,138986,49873,12687,4976,3318,3084,1247,72463,forward
47,77,138986,49873,12687,4976,3318,3084,1247,72463,forward
47,77,138986,49873,12687,4976,3318,3084,1247,72463,forward
47,77,138986,49873,12687,4976,3318,3084,1247,72463,forward
47,77,138986,49873,12687,4976,3318,3084,1247,72463,forward
47,77,138986,49873,12687,4976,3318,3084,1247,72463,forward
47,77,138986,49873,12687,4976,3318,3084,1247,72463,forward
47,77,138986,49873,12687,4976,3318,3084,1247,72463,forward
47,77,138986,49873,12687,4976,3318,3084,1247,72463,forward
47,77,138986,49873,12687,4976,3318,3084,1247,72463,forward
47,77,138986,49873,12687,4976,3318,3084,1247,72463,forward
47,77,138986,49873,12687,4976,3318,3084,1247,72463,forward
47,77,138986,49873,12687,4976,3318,3084,1247,72463,forward
47,77,138986,49873,12687,4976,3318,3084,1247,72463,forward
47,77,138986,49873,12687,4976,3318,3084,1247,72463,forward
47,77,138986,49873,12687,4976,3318,3084,1247,72463,forward
34,80,379911,25883,1104,7522,3136,3808,616,67456,forward
34,80,379911,25883,1104,7522,3136,3808,616,67456,forward
34,80,379911,25883,1104,7522,3136,3808,616,67456,forward
34,80,379911,25883,1104,7522,3136,3808,616,67456,forward
34,80,379911,25883,1104,7522,3136,3808,616,67456,forward
34,80,379911,25883,1104,7522,3136,3808,616,67456,forward
34,80,379911,25883,1104,7522,3136,3808,616,67456,forward
34,80,379911,25883,1104,7522,3136,3808,616,67456,forward
34,80,379911,25883,1104,7522,3136,3808,616,67456,forward
34,80,379911,25883,1104,7522,3136,3808,616,67456,forward
34,80,379911,25883,1104,7522,3136,3808,616,67456,forward
34,80,379911,25883,1104,7522,3136,3808,616,67456,forward
34,80,379911,25883,1104,7522,3136,3808,616,67456,forward
34,80,379911,25883,1104,7522,3136,3808,616,67456,forward
34,80,379911,25883,1104,7522,3136,3808,616,67456,forward
34,80,379911,25883,1104,7522,3136,3808,616,67456,forward
34,80,379911,25883,1104,7522,3136,3808,616,67456,forward
34,80,379911,25883,1104,7522,3136,3808,616,67456,forward
34,80,379911,25883,1104,7522,3136,3808,616,67456,forward
34,80,379911,25883,1104,7522,3136,3808,616,67456,forward
16,90,1209548,19884,105115,14862,55494,6730,2272,291110,forward
16,90,1209548,19884,105115,14862,55494,6730,2272,291110,forward
16,90,1209548,19884,105115,14862,55494,6730,2272,291110,forward
16,90,1209548,19884,105115,14862,55494,6730,2272,291110,forward
16,90,1209548,19884,105115,14862,55494,6730,2272,291110,forward
16,90,1209548,19884,105115,14862,55494,6730,2272,291110,forward
16,90,1209548,19884,105115,14862,55494,6730,2272,291110,forward
16,90,1209548,19884,105115,14862,55494,6730,2272,291110,forward
16,90,1209548,19884,105115,14862,55494,6730,2272,291110,forward
16,90,1209548,19884,105115,14862,55494,6730,2272,291110,forward
16,90,1209548,19884,105115,14862,55494,6730,2272,291110,forward
16,90,1209548,19884,105115,14862,55494,6730,2272,291110,forward
16,90,1209548,19884,105115,14862,55494,6730,2272,291110,forward
16,90,1209548,19884,105115,14862,55494,6730,2272,291110,forward
16,90,1209548,19884,105115,14862,55494,6730,2272,291110,forward
16,90,1209548,19884,105115,14862,55494,6730,2272,291110,forward
16,90,1209548,19884,105115,14862,55494,6730,2272,291110,forward
16,90,1209548,19884,105115,14862,55494,6730,2272,291110,forward
16,90,1209548,19884,105115,14862,55494,6730,2272,291110,forward
16,90,1209548,19884,105115,14862,55494,6730,2272,291110,forward
8,83,795851,180263,4027,84932,15595,15300,1312,282717,forward
8,83,795851,180263,4027,84932,15595,15300,1312,282717,forward
8,83,795851,180263,4027,84932,15595,15300,1312,282717,forward
8,83,795851,180263,4027,84932,15595,15300,1312,282717,forward
8,83,795851,180263,4027,84932,15595,15300,1312,282717,forward
8,83,795851,180263,4027,84932,15595,15300,1312,282717,forward
8,83,795851,180263,4027,84932,15595,15300,1312,282717,forward
8,83,795851,180263,4027,84932,15595,15300,1312,282717,forward
8,83,795851,180263,4027,84932,15595,15300,1312,282717,forward
8,83,795851,180263,4027,84932,15595,15300,1312,282717,forward
8,83,795851,180263,4027,84932,15595,15300,1312,282717,forward
8,83,795851,180263,4027,84932,15595,15300,1312,282717,forward
8,83,795851,180263,4027,84932,15595,15300,1312,282717,forward
8,83,795851,180263,4027,84932,15595,15300,1312,282717,forward
8,83,795851,180263,4027,84932,15595,15300,1312,282717,forward
8,83,795851,180263,4027,84932,15595,15300,1312,282717,forward
8,83,795851,180263,4027,84932,15595,15300,1312,282717,forward
8,83,795851,180263,4027,84932,15595,15300,1312,282717,forward
8,83,795851,180263,4027,84932,15595,15300,1312,282717,forward
8,83,795851,180263,4027,84932,15595,15300,1312,282717,forward
26,100,1721686,44927,86158,28996,7098,24549,5460,299279,forward
26,100,1721686,44927,86158,28996,7098,24549,5460,299279,forward
26,100,1721686,44927,86158,28996,7098,24549,5460,299279,forward
26,100,1721686,44927,86158,28996,7098,24549,5460,299279,forward
26,100,1721686,44927,86158,28996,7098,24549,5460,299279,forward
26,100,1721686,44927,86158,28996,7098,24549,5460,299279,forward
26,100,1721686,44927,86158,28996,7098,24549,5460,299279,forward
26,100,1721686,44927,86158,28996,7098,24549,5460,299279,forward
26,100,1721686,44927,86158,28996,7098,24549,5460,299279,forward
26,100,1721686,44927,86158,28996,7098,24549,5460,299279,forward
26,100,1721686,44927,86158,28996,7098,24549,5460,299279,forward
26,100,1721686,44927,86158,28996,7098,24549,5460,299279,forward
26,100,1721686,44927,86158,28996,7098,24549,5460,299279,forward
26,100,1721686,44927,86158,28996,7098,24549,5460,299279,forward
26,100,1721686,44927,86158,28996,7098,24549,5460,299279,forward
26,100,1721686,44927,86158,28996,7098,24549,5460,299279,forward
26,100,1721686,44927,86158,28996,7098,24549,5460,299279,forward
26,100,1721686,44927,86158,28996,7098,24549,5460,299279,forward
26,100,1721686,44927,86158,28996,7098,24549,5460,299279,forward
8,100,44262,14834,5101,1055,277,676,231,15329,forward
8,100,44262,14834,5101,1055,277,676,231,15329,forward
8,100,44262,14834,5101,1055,277,676,231,15329,forward
8,100,44262,14834,5101,1055,277,676,231,15329,forward
8,100,44262,14834,5101,1055,277,676,231,15329,forward
8,100,44262,14834,5101,1055,277,676,231,15329,forward
8,100,44262,14834,5101,1055,277,676,231,15329,forward
8,100,44262,14834,5101,1055,277,676,231,15329,forward
8,100,44262,14834,5101,1055,277,676,231,15329,forward
8,100,44262,14834,5101,1055,277,676,231,15329,forward
8,100,44262,14834,5101,1055,277,676,231,15329,forward
8,100,44262,14834,5101,1055,277,676,231,15329,forward
8,100,44262,14834,5101,1055,277,676,231,15329,forward
8,100,44262,14834,5101,1055,277,676,231,15329,forward
8,100,44262,14834,5101,1055,277,676,231,15329,forward
8,100,44262,14834,5101,1055,277,676,231,15329,forward
8,100,44262,14834,5101,1055,277,676,231,15329,forward
8,100,44262,14834,5101,1055,277,676,231,15329,forward
8,100,44262,14834,5101,1055,277,676,231,15329,forward
8,100,44262,14834,5101,1055,277,676,231,15329,forward
23,90,1302837,16105,8186,6554,17036,4586,1196,70182,forward
23,90,1302837,16105,8186,6554,17036,4586,1196,70182,forward
23,90,1302837,16105,8186,6554,17036,4586,1196,70182,forward
23,90,1302837,16105,8186,6554,17036,4586,1196,70182,forward
23,90,1302837,16105,8186,6554,17036,4586,1196,70182,forward
23,90,1302837,16105,8186,6554,17036,4586,1196,70182,forward
23,90,1302837,16105,8186,6554,17036,4586,1196,70182,forward
23,90,1302837,16105,8186,6554,17036,4586,1196,70182,forward
23,90,1302837,16105,8186,6554,17036,4586,1196,70182,forward
23,90,1302837,16105,8186,6554,17036,4586,1196,70182,forward
23,90,1302837,16105,8186,6554,17036,4586,1196,70182,forward
23,90,1302837,16105,8186,6554,17036,4586,1196,70182,forward
23,90,1302837,16105,8186,6554,17036,4586,1196,70182,forward
23,90,1302837,16105,8186,6554,17036,4586,1196,70182,forward
23,90,1302837,16105,8186,6554,17036,4586,1196,70182,forward
23,90,1302837,16105,8186,6554,17036,4586,1196,70182,forward
23,90,1302837,16105,8186,6554,17036,4586,1196,70182,forward
23,90,1302837,16105,8186,6554,17036,4586,1196,70182,forward
23,90,1302837,16105,8186,6554,17036,4586,1196,70182,forward
23,90,1302837,16105,8186,6554,17036,4586,1196,70182,forward
29,97,761176,59165,11483,66684,18357,11819,1623,246774,forward
29,97,761176,59165,11483,66684,18357,11819,1623,246774,forward
29,97,761176,59165,11483,66684,18357,11819,1623,246774,forward
29,97,761176,59165,11483,66684,18357,11819,1623,246774,forward
29,97,761176,59165,11483,66684,18357,11819,1623,246774,forward
29,97,761176,59165,11483,66684,18357,11819,1623,246774,forward
29,97,761176,59165,11483,66684,18357,11819,1623,246774,forward
29,97,761176,59165,11483,66684,18357,11819,1623,246774,forward
29,97,761176,59165,11483,66684,18357,11819,1623,246774,forward
29,97,761176,59165,11483,66684,18357,11819,1623,246774,forward
29,97,761176,59165,11483,66684,18357,11819,1623,246774,forward
29,97,761176,59165,11483,66684,18357,11819,1623,246774,forward
29,97,761176,59165,11483,66684,18357,11819,1623,246774,forward
29,97,761176,59165,11483,66684,18357,11819,1623,246774,forward
29,97,761176,59165,11483,66684,18357,11819,1623,246774,forward
29,97,761176,59165,11483,66684,18357,11819,1623,246774,forward
29,97,761176,59165,11483,66684,18357,11819,1623,246774,forward
29,97,761176,59165,11483,66684,18357,11819,1623,246774,forward
29,97,761176,59165,11483,66684,18357,11819,1623,246774,forward
29,97,761176,59165,11483,66684,18357,11819,1623,246774,forward
21,83,769173,151267,11557,48260,2831,16087,2332,239079,forward
21,83,769173,151267,11557,48260,2831,16087,2332,239079,forward
21,83,769173,151267,11557,48260,2831,16087,2332,239079,forward
21,83,769173,151267,11557,48260,2831,16087,2332,239079,forward
21,83,769173,151267,11557,48260,2831,16087,2332,239079,forward
21,83,769173,151267,11557,48260,2831,16087,2332,239079,forward
21,83,769173,151267,11557,48260,2831,16087,2332,239079,forward
21,83,769173,151267,11557,48260,2831,16087,2332,239079,forward
21,83,769173,151267,11557,48260,2831,16087,2332,239079,forward
21,83,769173,151267,11557,48260,2831,16087,2332,239079,forward
21,83,769173,151267,11557,48260,2831,16087,2332,239079,forward
21,83,769173,151267,11557,48260,2831,16087,2332,239079,forward
21,83,769173,151267,11557,48260,2831,16087,2332,239079,forward
21,83,769173,151267,11557,48260,2831,16087,2332,239079,forward
21,83,769173,151267,11557,48260,2831,16087,2332,239079,forward
21,83,769173,151267,11557,48260,2831,16087,2332,239079,forward
21,83,769173,151267,11557,48260,2831,16087,2332,239079,forward
7,51,1428954,94041,29108,20928,18945,14122,6372,215539,back
7,51,1428954,94041,29108,20928,18945,14122,6372,215539,back
7,51,1428954,94041,29108,20928,18945,14122,6372,215539,back
7,51,1428954,94041,29108,20928,18945,14122,6372,215539,back
7,51,1428954,94041,29108,20928,18945,14122,6372,215539,back
7,51,1428954,94041,29108,20928,18945,14122,6372,215539,back
7,51,1428954,94041,29108,20928,18945,14122,6372,215539,back
7,51,1428954,94041,29108,20928,18945,14122,6372,215539,back
7,51,1428954,94041,29108,20928,18945,14122,6372,215539,back
7,51,1428954,94041,29108,20928,18945,14122,6372,215539,back
7,51,1428954,94041,29108,20928,18945,14122,6372,215539,back
7,51,1428954,94041,29108,20928,18945,14122,6372,215539,back
7,51,1428954,94041,29108,20928,18945,14122,6372,215539,back
7,51,1428954,94041,29108,20928,18945,14122,6372,215539,back
7,51,1428954,94041,29108,20928,18945,14122,6372,215539,back
7,51,1428954,94041,29108,20928,18945,14122,6372,215539,back
1,47,1174047,400829,41495,24333,50547,21496,6778,243001,back
1,47,1174047,400829,41495,24333,50547,21496,6778,243001,back
1,47,1174047,400829,41495,24333,50547,21496,6778,243001,back
1,47,1174047,400829,41495,24333,50547,21496,6778,243001,back
1,47,1174047,400829,41495,24333,50547,21496,6778,243001,back
1,47,1174047,400829,41495,24333,50547,21496,6778,243001,back
1,47,1174047,400829,41495,24333,50547,21496,6778,243001,back
1,47,1174047,400829,41495,24333,50547,21496,6778,243001,back
1,47,1174047,400829,41495,24333,50547,21496,6778,243001,back
1,47,1174047,400829,41495,24333,50547,21496,6778,243001,back
1,47,1174047,400829,41495,24333,50547,21496,6778,243001,back
1,47,1174047,400829,41495,24333,50547,21496,6778,243001,back
1,47,1174047,400829,41495,24333,50547,21496,6778,243001,back
1,47,1174047,400829,41495,24333,50547,21496,6778,243001,back
1,47,1174047,400829,41495,24333,50547,21496,6778,243001,back
1,47,1174047,400829,41495,24333,50547,21496,6778,243001,back
1,47,1174047,400829,41495,24333,50547,21496,6778,243001,back
1,47,1174047,400829,41495,24333,50547,21496,6778,243001,back
1,47,1174047,400829,41495,24333,50547,21496,6778,243001,back
1,47,1174047,400829,41495,24333,50547,21496,6778,243001,back
23,51,72113,8320,827,2030,835,1750,394,12686,back
23,51,72113,8320,827,2030,835,1750,394,12686,back
23,51,72113,8320,827,2030,835,1750,394,12686,back
23,51,72113,8320,827,2030,835,1750,394,12686,back
23,51,72113,8320,827,2030,835,1750,394,12686,back
23,51,72113,8320,827,2030,835,1750,394,12686,back
23,51,72113,8320,827,2030,835,1750,394,12686,back
23,51,72113,8320,827,2030,835,1750,394,12686,back
23,51,72113,8320,827,2030,835,1750,394,12686,back
23,51,72113,8320,827,2030,835,1750,394,12686,back
23,51,72113,8320,827,2030,835,1750,394,12686,back
23,51,72113,8320,827,2030,835,1750,394,12686,back
23,51,72113,8320,827,2030,835,1750,394,12686,back
23,51,72113,8320,827,2030,835,1750,394,12686,back
23,51,72113,8320,827,2030,835,1750,394,12686,back
23,51,72113,8320,827,2030,835,1750,394,12686,back
23,51,72113,8320,827,2030,835,1750,394,12686,back
23,51,72113,8320,827,2030,835,1750,394,12686,back
23,51,72113,8320,827,2030,835,1750,394,12686,back
23,51,72113,8320,827,2030,835,1750,394,12686,back
16,56,829504,614837,151588,28110,12554,10172,13488,190545,back
16,56,829504,614837,151588,28110,12554,10172,13488,190545,back
16,56,829504,614837,151588,28110,12554,10172,13488,190545,back
16,56,829504,614837,151588,28110,12554,10172,13488,190545,back
16,56,829504,614837,151588,28110,12554,10172,13488,190545,back
16,56,829504,614837,151588,28110,12554,10172,13488,190545,back
16,56,829504,614837,151588,28110,12554,10172,13488,190545,back
16,56,829504,614837,151588,28110,12554,10172,13488,190545,back
16,56,829504,614837,151588,28110,12554,10172,13488,190545,back
16,56,829504,614837,151588,28110,12554,10172,13488,190545,back
16,56,829504,614837,151588,28110,12554,10172,13488,190545,back
16,56,829504,614837,151588,28110,12554,10172,13488,190545,back
16,56,829504,614837,151588,28110,12554,10172,13488,190545,back
16,56,829504,614837,151588,28110,12554,10172,13488,190545,back
16,56,829504,614837,151588,28110,12554,10172,13488,190545,back
16,56,829504,614837,151588,28110,12554,10172,13488,190545,back
16,56,829504,614837,151588,28110,12554,10172,13488,190545,back
16,56,829504,614837,151588,28110,12554,10172,13488,190545,back
16,56,829504,614837,151588,28110,12554,10172,13488,190545,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
26,60,779116,67768,30950,21979,16497,16726,12656,190941,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
40,70,2061719,131292,55172,10943,24016,13074,5054,177576,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
30,80,1870369,191432,103420,52708,25713,21381,9033,176039,back
